gene_id,vespula_Diseased_1,vespula_Diseased_2,vespula_Diseased_3,vespula_Healthy_1,vespula_Healthy_2,vespula_Healthy_3
FUN_008221,72,74,74,97,53,11
FUN_008222,0,0,0,2,0,0
FUN_008223,111,145,147,270,187,136
FUN_008888,103,133,121,118,92,15
FUN_008889,31,16,16,15,12,0
FUN_008226,0,0,0,0,0,0
FUN_011889,800,882,1112,1140,777,96
FUN_006644,788,563,1589,719,931,61
FUN_008229,0,0,0,0,0,0
FUN_011884,6,6,15,1,14,54
FUN_011885,19,14,3,9,15,9
FUN_006640,92,60,101,89,34,7
FUN_006641,0,0,7,0,0,0
FUN_008882,0,0,0,0,0,0
FUN_006643,679,566,454,754,470,65
FUN_016689,4,0,0,0,0,0
FUN_016688,4,0,7,8,7,4
FUN_016685,17,9,28,32,21,0
FUN_016684,3,3,0,4,3,0
FUN_016687,8,3,7,4,0,0
FUN_016686,4,6,15,15,12,5
FUN_016681,17,0,0,0,0,0
FUN_004288,0,1,0,0,2,0
FUN_016683,0,0,0,0,0,0
FUN_016682,0,0,0,0,0,0
FUN_004224,4,0,0,4,2,0
FUN_003505,0,0,0,0,0,0
FUN_003506,0,0,0,0,0,0
FUN_010213,1381,1056,1689,891,1252,30
FUN_009937,0,0,0,0,0,0
FUN_010215,452,535,621,524,555,33
FUN_004730,2,1,2,2,1,0
FUN_004223,0,0,0,0,2,0
FUN_010218,129,123,89,222,170,9
FUN_010219,2,0,0,6,3,0
FUN_009939,0,0,0,0,1,0
FUN_009938,0,0,0,2,0,0
FUN_003508,0,0,0,0,0,0
FUN_003509,0,0,0,0,0,0
FUN_004738,59,41,41,37,24,0
FUN_004739,411,329,359,421,594,18
FUN_004316,533,538,517,961,550,10
FUN_011791,0,0,0,0,0,0
FUN_009037,18,13,24,10,10,0
FUN_002278,0,0,0,0,0,0
FUN_008084,232,84,167,108,109,44
FUN_008085,560,249,350,220,224,29
FUN_008086,2218,2142,2174,2565,2040,77
FUN_008087,1225,1108,1484,1519,1383,22
FUN_008080,6,4,3,0,3,0
FUN_008081,187,55,62,93,85,17
FUN_008082,92,77,86,81,137,22
FUN_008083,1924,3102,2405,1883,1621,2717
FUN_005634,59,53,19,21,40,0
FUN_008088,1270,1917,2247,2244,2300,710
FUN_004280,0,0,0,0,0,0
FUN_004281,0,0,0,0,0,0
FUN_011730,131,68,97,43,55,7
FUN_002132,17,21,30,23,2,0
FUN_006272,13,6,3,8,3,0
FUN_011228,7,7,16,17,24,0
FUN_011229,454,480,405,675,578,40
FUN_011222,416,562,524,748,630,212
FUN_011223,174,217,287,203,263,40
FUN_011220,13,9,22,42,27,5
FUN_011221,16,11,18,31,18,7
FUN_011226,117,72,130,197,244,32
FUN_011227,198,133,253,117,112,3
FUN_011224,765,600,663,606,391,0
FUN_011225,21,0,6,7,10,0
FUN_002133,0,0,0,0,0,0
FUN_010016,17,2,4,6,7,0
FUN_010017,0,0,0,0,0,0
FUN_007014,47,42,78,77,84,10
FUN_015534,0,0,0,0,0,0
FUN_009912,5095,4303,9233,4439,2754,732
FUN_002130,22,19,52,68,90,101
FUN_010015,11,3,3,4,3,1
FUN_001633,674,616,444,552,319,140
FUN_015532,698,564,874,584,573,25
FUN_010013,844,58,269,47,51,3
FUN_011161,173,255,199,206,353,22
FUN_013332,249,230,272,265,325,150
FUN_011163,4738,5708,5327,5343,4522,94
FUN_011162,124,319,159,396,248,15
FUN_011165,156,201,184,134,130,23
FUN_011164,6649,9225,9115,3739,3701,467
FUN_011167,281,391,453,748,448,27
FUN_011166,660,603,1051,780,746,392
FUN_011169,5,4,2,6,0,0
FUN_011168,0,2,0,5,2,0
FUN_010011,852,1558,883,777,870,205
FUN_002131,0,0,0,0,0,0
FUN_014451,231,236,300,183,133,13
FUN_001634,16,20,12,10,7,0
FUN_013336,141,129,99,172,146,16
FUN_013337,282,405,275,495,433,49
FUN_001869,15,34,26,106,54,152
FUN_001868,301,335,333,269,267,80
FUN_001865,10,11,7,2,6,22
FUN_001864,4,2,3,0,0,0
FUN_001867,3,0,6,5,2,3
FUN_001866,2,2,2,0,14,2
FUN_001861,0,0,0,0,2,0
FUN_001860,0,0,0,0,0,0
FUN_001863,0,0,0,0,0,0
FUN_001862,0,0,0,0,0,0
FUN_015013,1283,1044,1239,530,930,26
FUN_015538,0,0,0,0,0,0
FUN_002369,42,35,35,51,86,15
FUN_002368,454,349,491,443,481,45
FUN_002367,321,231,493,278,355,44
FUN_002366,251,504,614,647,500,68
FUN_002365,0,0,0,0,0,0
FUN_002364,23,13,18,8,15,4
FUN_002363,0,0,0,0,0,0
FUN_013486,0,0,0,0,0,0
FUN_002361,3,0,0,0,0,0
FUN_002360,373,219,136,41,17,0
FUN_000732,0,0,0,0,0,0
FUN_000733,0,0,0,0,0,0
FUN_000730,184,208,113,186,216,36
FUN_000731,9,0,5,9,4,5
FUN_000736,19,0,6,2,0,0
FUN_000737,6,3,6,15,10,0
FUN_000734,0,0,0,0,0,0
FUN_000735,195,0,42,3,17,0
FUN_010082,0,0,0,0,0,0
FUN_000738,149,224,246,104,141,10
FUN_000739,7,3,0,13,8,0
FUN_013483,6,2,3,17,2,2
FUN_002134,0,0,0,0,0,0
FUN_004606,0,0,0,0,0,0
FUN_008325,0,0,0,0,0,0
FUN_017326,46,33,74,53,61,46
FUN_008324,0,0,0,0,0,0
FUN_013321,0,0,0,0,0,0
FUN_008327,0,0,0,0,0,0
FUN_000884,9,20,31,64,12,0
FUN_000885,359,372,400,588,350,8
FUN_000886,0,2,0,0,0,0
FUN_006782,0,0,0,0,0,0
FUN_000880,6,2,0,11,11,4
FUN_000881,895,436,642,324,272,15
FUN_000882,199,161,132,121,142,155
FUN_000883,17,9,13,36,28,14
FUN_008321,3,4,0,1,0,0
FUN_000888,47,29,90,31,62,415
FUN_000889,13,4,8,34,20,175
FUN_006784,3,2,5,7,9,0
FUN_002673,706,590,1000,689,808,167
FUN_008323,0,0,0,0,0,0
FUN_006786,0,0,0,0,0,0
FUN_012128,32,22,18,16,19,15
FUN_015017,0,0,0,0,0,0
FUN_004310,4,2,5,4,2,8
FUN_000195,0,0,0,0,0,0
FUN_017319,43,40,53,25,33,0
FUN_012148,0,0,0,0,0,0
FUN_012149,0,0,0,0,0,0
FUN_012142,428,123,356,47,161,7
FUN_012143,68,23,38,39,97,3
FUN_012140,737,581,868,631,836,72
FUN_012141,1126,747,948,1177,744,34
FUN_012146,192,370,333,217,209,3
FUN_012147,0,0,0,0,0,0
FUN_012144,16,3,6,0,0,0
FUN_017317,98,91,141,86,140,31
FUN_016308,405,402,509,566,586,24
FUN_016309,505,441,511,445,498,27
FUN_011331,0,0,0,0,0,0
FUN_016300,0,0,0,3,0,0
FUN_016301,237,193,287,567,253,45
FUN_016302,0,9,7,14,18,2
FUN_016303,48,33,31,22,19,17
FUN_016304,410,357,304,355,382,46
FUN_016305,171,183,270,149,148,5
FUN_016306,391,266,466,179,198,14
FUN_016307,21,20,36,14,26,0
FUN_003283,237,158,298,240,281,98
FUN_003282,74,69,57,26,42,2
FUN_003281,126,38,66,50,63,0
